adsh	grp	arc	negative	ptag	pversion	ctag	cversion
0000930413-25-003432	4	2	1	IncomeLossFromContinuingOperations	us-gaap/2025	UnrealizedGainLossOnInvestments	us-gaap/2025
0000930413-25-003432	4	1	1	IncomeLossFromContinuingOperations	us-gaap/2025	NetInvestmentIncome	us-gaap/2025
0000930413-25-003432	3	19	1	Liabilities	us-gaap/2025	AccruedLiabilitiesCurrent	us-gaap/2025
0000930413-25-003432	3	18	1	Liabilities	us-gaap/2025	DistributionAndShareholderServicingFeePayable1	0000930413-25-003432
0000930413-25-003432	3	17	1	Liabilities	us-gaap/2025	AdministrativeFeePayable	us-gaap/2025
0000930413-25-003432	3	15	1	Liabilities	us-gaap/2025	AccruedProfessionalFeesCurrentAndNoncurrent	us-gaap/2025
0000930413-25-003432	3	13	1	Liabilities	us-gaap/2025	IncentiveFeePayableCapitalGainBased	us-gaap/2025
0000930413-25-003432	3	12	1	Liabilities	us-gaap/2025	IncentiveFeePayable	us-gaap/2025
0000930413-25-003432	3	8	1	TotalLiabilitiesAndNetAssets	0000930413-25-003432	Liabilities	us-gaap/2025
0000930413-25-003432	3	7	1	AssetsCurrent	us-gaap/2025	OtherAssets	us-gaap/2025
0000930413-25-003432	3	6	1	AssetsCurrent	us-gaap/2025	ReceivableInvestmentSale	us-gaap/2025
0000930413-25-003432	3	3	1	AssetsCurrent	us-gaap/2025	AccruedInvestmentIncomeReceivable	us-gaap/2025
0000930413-25-003432	3	2	1	AssetsCurrent	us-gaap/2025	CashAndCashEquivalentsAtCarryingValue	us-gaap/2025
0000930413-25-003432	2	11	-1	UnrealizedGainLossOnInvestments	us-gaap/2025	NetIncomeLossAttributableToNoncontrollingInterest	us-gaap/2025
0000930413-25-003432	2	10	-1	NetRealizedAndChangeInUnrealizedGainloss	0000930413-25-003432	NetIncomeLossAttributableToNoncontrollingInterest	us-gaap/2025
0000930413-25-003432	2	9	1	IncreaseDecreaseInOperatingCapital	us-gaap/2025	NetRealizedAndChangeInUnrealizedGainloss	0000930413-25-003432
0000930413-25-003432	2	8	1	CostsAndExpenses	us-gaap/2025	AdministrativeFeesExpense	us-gaap/2025
0000930413-25-003432	2	7	1	CostsAndExpenses	us-gaap/2025	ProfessionalFees	us-gaap/2025
0000930413-25-003432	2	5	-1	NetInvestmentIncome	us-gaap/2025	CostsAndExpenses	us-gaap/2025
0000930413-25-003432	2	2	1	NetInvestmentIncome	us-gaap/2025	IncomeLossFromEquityMethodInvestments	us-gaap/2025
0000930413-25-003432	2	1	1	IncreaseDecreaseInOperatingCapital	us-gaap/2025	NetInvestmentIncome	us-gaap/2025
0000930413-25-003432	1	3	1	InterestAndDebtExpense	us-gaap/2025	AmortizationOfFinancingCostsAndDiscounts	us-gaap/2025
0000930413-25-003432	1	2	1	InterestAndDebtExpense	us-gaap/2025	DebtInstrumentUnusedBorrowingCapacityFee	us-gaap/2025
0000930413-25-003432	1	1	1	InterestAndDebtExpense	us-gaap/2025	InterestExpenseShortTermBorrowings	us-gaap/2025
