adsh	cik	name	form	filed	period	ddate	tag	version	label	segments	value	indexurl
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	AmendmentFlag	dei/2025	Amendment Flag		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	CityAreaCode	dei/2025	City Area Code		214	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	DocumentPeriodEndDate	dei/2025	Document Period End Date		2025-11-03	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	DocumentType	dei/2025	Document Type		8-K	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityAddressAddressLine1	dei/2025	Entity Address, Address Line One		8333 Douglas Avenue	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityAddressAddressLine2	dei/2025	Entity Address, Address Line Two		Suite 1100	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityAddressCityOrTown	dei/2025	Entity Address, City or Town		Dallas	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityAddressPostalZipCode	dei/2025	Entity Address, Postal Zip Code		75225	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityAddressStateOrProvince	dei/2025	Entity Address, State or Province		TX	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityCentralIndexKey	dei/2025	Entity Central Index Key		0000017313	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityEmergingGrowthCompany	dei/2025	Entity Emerging Growth Company		false	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityFileNumber	dei/2025	Entity File Number		814-00061	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
0000017313-25-000145	17313	CAPITAL SOUTHWEST CORP	8-K	20251103	20251031	20251031	EntityIncorporationStateCountryCode	dei/2025	Entity Incorporation, State or Country Code		TX	https://www.sec.gov/Archives/edgar/data/17313/000001731325000145/0000017313-25-000145/-index.htm
