adsh	cik	name	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	fileNumber	accepted	prevrpt	detail	instance	pubfloatusd	floatdate	inlineurl
0001859919-25-000087	1859919	BARINGS PRIVATE CREDIT CORP	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	704-805-7200	US	NC	CHARLOTTE	28202	300 SOUTH TRYON STREET	SUITE 2500	US	MD	863780522	BARINGS PRIVATE CREDIT LLC	20210430	4-NON	0	1231	10-Q	20250930	2025	Q3	20251106	814-01397	2025-11-06 16:21:00.0	0	1	bdc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1859919/000185991925000087/bdc-20250930.htm
0001742313-25-000080	1742313	MONROE CAPITAL INCOME PLUS CORP	US	IL	CHICAGO	60606	155 NORTH WACKER DRIVE	FLOOR 35	(312) 258-8300	US	IL	CHICAGO	60606	155 NORTH WACKER DRIVE	FLOOR 35	US	MD	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01301	2025-11-07 16:07:00.0	0	1	mcip-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1742313/000174231325000080/mcip-20250930.htm
0001193125-25-277953	1578348	INVESTCORP CREDIT MANAGEMENT BDC, INC.	US	NY	NEW YORK	10017	280 PARK AVENUE	39TH FLOOR	212-388-5813	US	NY	NEW YORK	10017	280 PARK AVENUE	39TH FLOOR	US	MD	462883380	CM FINANCE INC	20130531	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01054	2025-11-12 17:14:00.0	0	1	icmb-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1578348/000119312525277953/icmb-20250930.htm
0001193125-25-277880	1982701	AB PRIVATE LENDING FUND	US	TX	AUSTIN	78701	405 COLORADO STREET	SUITE 1500	512-721-2900	US	TX	AUSTIN	78701	405 COLORADO STREET	SUITE 1500	US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01744	2025-11-12 17:02:00.0	0	1	ck0001982701-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1982701/000119312525277880/ck0001982701-20250930.htm
0001104659-25-111360	2077250	STONE POINT CREDIT INCOME FUND - SELECT	US	CT	GREENWICH	06830	20 HORSENECK LANE		(203) 340-8763	US	CT	GREENWICH	06830	20 HORSENECK LANE		US	DE	000000000			4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01913	2025-11-13 16:26:00.0	0	1	tmb-20250930x10q_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/2077250/000110465925111360/tmb-20250930x10q.htm
0001655888-25-000024	1655888	BLUE OWL CAPITAL CORP	US	NY	NEW YORK	10022	399 PARK AVENUE		(212) 419-3000	US	NY	NEW YORK	10022	399 PARK AVENUE		US	MD	000000000	OWL ROCK CAPITAL CORP	20151016	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	814-01190	2025-11-05 16:36:00.0	0	1	obdc-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1655888/000165588825000024/obdc-20250930.htm
0001193125-25-271488	1919369	VISTA CREDIT STRATEGIC LENDING CORP.	US	CA	SAN FRANCISCO	94111	FOUR EMBARCADERO CENTER, 20TH FLOOR		(415) 765-6500	US	CA	SAN FRANCISCO	94111	FOUR EMBARCADERO CENTER, 20TH FLOOR				881906598			4-NON	0	1231	10-Q	20250930	2025	Q3	20251107	814-01651	2025-11-07 11:19:00.0	0	1	ck0001919369-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1919369/000119312525271488/ck0001919369-20250930.htm
0001193125-25-276898	1715933	TCW DIRECT LENDING VII LLC	US	CA	LOS ANGELES	90071	515 SOUTH FLOWER ST		213-244-0000	US	CA	LOS ANGELES	90071	515 SOUTH FLOWER ST		US	DE	822252672			4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	814-01246	2025-11-12 13:18:00.0	0	1	ck0001715933-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1715933/000119312525276898/ck0001715933-20250930.htm
0001193125-25-277009	1646614	SILVER POINT SPECIALTY LENDING FUND	US	CT	GREENWICH	06830	2 GREENWICH PLAZA	FIRST FLOOR	203-542-4100	US	CT	GREENWICH	06830	2 GREENWICH PLAZA	FIRST FLOOR	US	MD	471577585	SILVER POINT SPECIALTY CREDIT FUND, L.P.	20150629	4-NON	0	1231	10-Q	20250930	2025	Q3	20251112	000-56533	2025-11-12 13:57:00.0	0	1	ck0001646614-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1646614/000119312525277009/ck0001646614-20250930.htm
0001193125-25-278069	1923622	PGIM PRIVATE CREDIT FUND	US	NJ	NEWARK	07102	655 BROAD ST		(973) 802-5032	US	NJ	NEWARK	07102	655 BROAD ST		US	DE	000000000	PGIM SENIOR LOAN OPPORTUNITIES FUND	20220414	4-NON	0	1231	10-Q	20250930	2025	Q3	20251113	814-01582	2025-11-12 17:47:00.0	0	1	ck0001923622-20250930_htm.xml			https://www.sec.gov/ix?doc=/Archives/edgar/data/1923622/000119312525278069/ck0001923622-20250930.htm
0001476765-25-000096	1476765	GOLUB CAPITAL BDC, INC.	US	NY	NEW YORK	10166	200 PARK AVENUE	25TH FLOOR	212.750.6060	US	NY	NEW YORK	10166	200 PARK AVENUE	25TH FLOOR	US	DE	471893276	GOLUB CAPITAL INVESTMENT CORP	20170511	1-LAF	0	0930	10-K	20250930	2025	FY	20251118	814-00794	2025-11-18 16:11:00.0	0	1	gbdc-20250930_htm.xml	3923000000.00	20250331	https://www.sec.gov/ix?doc=/Archives/edgar/data/1476765/000147676525000096/gbdc-20250930.htm
