bdc_name,bdc_cik,company_name,business_description,investment_type,principal,cost,fair_value,industry_sector
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP","Provider of software services that support the management and security of computing devices, applications, data, and networks",First lien senior secured loan,42500000.0,42500000.0,42500000.0,Software/Technology
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP","Provider of software services that support the management and security of computing devices, applications, data, and networks",First lien senior secured loan,6900000.0,6900000.0,6900000.0,Software/Technology
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP","Provider of software services that support the management and security of computing devices, applications, data, and networks",Limited partnership interest,,10200000.0,13300000.0,Software/Technology
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP","Provider of software services that support the management and security of computing devices, applications, data, and networks",,,59600000.0,62700000.0,Software/Technology
Ares Capital Corporation,1287750,"AI Titan Parent, Inc.",Provider of plant maintenance / scheduling software,First lien senior secured loan,61500000.0,61500000.0,60900000.0,Software/Technology
Ares Capital Corporation,1287750,"Anaplan, Inc.",Provider of cloud-based connected planning platforms for business analytics,First lien senior secured loan,1800000.0,1800000.0,1800000.0,Software/Technology
Ares Capital Corporation,1287750,"Anaplan, Inc.",Provider of cloud-based connected planning platforms for business analytics,First lien senior secured loan,4099999.999999999,4099999.999999999,4099999.999999999,Software/Technology
Ares Capital Corporation,1287750,"Anaplan, Inc.",Provider of cloud-based connected planning platforms for business analytics,,,5900000.0,5900000.0,Software/Technology
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",Provider of intellectual property management lifecycle software,First lien senior secured loan,7500000.0,8199999.999999999,7500000.0,Software/Technology
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",Provider of intellectual property management lifecycle software,First lien senior secured loan,3700000.0,3700000.0,3700000.0,Software/Technology
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",Provider of intellectual property management lifecycle software,First lien senior secured loan,5400000.0,5400000.0,5400000.0,Software/Technology
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",Provider of intellectual property management lifecycle software,Limited partnership units,,4200000.0,12900000.0,Software/Technology
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",Provider of intellectual property management lifecycle software,,,21500000.0,29500000.0,Software/Technology
Ares Capital Corporation,1287750,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",Aircraft performance software provider,First lien senior secured loan,13100000.0,13100000.0,13100000.0,Software/Technology
