0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portfolio Company(a),Portfolio Company(a),Portfolio Company(a),,,,Footnotes,Footnotes,Footnotes,,,,Industry,Industry,Industry,,,,Rate(b),Rate(b),Rate(b),,,,Floor,Floor,Floor,,,,Maturity,Maturity,Maturity,,,,Principal Amount(c),Principal Amount(c),Principal Amount(c),,,,Amortized Cost,Amortized Cost,Amortized Cost,,,,Fair Value(d),Fair Value(d),Fair Value(d)
Alpha Financial Markets Consulting PLC,Alpha Financial Markets Consulting PLC,Alpha Financial Markets Consulting PLC,,,,(v)(w),(v)(w),(v)(w),,,,Commercial & Professional Services,Commercial & Professional Services,Commercial & Professional Services,,,,"SA+525, 0.0% PIK (1.8% Max PIK)","SA+525, 0.0% PIK (1.8% Max PIK)","SA+525, 0.0% PIK (1.8% Max PIK)",,,,0.0%,0.0%,0.0%,,,,8/29/31,8/29/31,8/29/31,,,,£,8.8,,,,,$,11.3,,,,,$,10.8,
Alpha Financial Markets Consulting PLC,Alpha Financial Markets Consulting PLC,Alpha Financial Markets Consulting PLC,,,,(w)(x),(w)(x),(w)(x),,,,Commercial & Professional Services,Commercial & Professional Services,Commercial & Professional Services,,,,SA+525,SA+525,SA+525,,,,0.0%,0.0%,0.0%,,,,8/16/31,8/16/31,8/16/31,,,,4.5,4.5,,,,,5.8,5.8,,,,,5.8,5.8,
American Vision Partners,American Vision Partners,American Vision Partners,,,,(v),(v),(v),,,,Health Care Equipment & Services,Health Care Equipment & Services,Health Care Equipment & Services,,,,SF+600,SF+600,SF+600,,,,0.8%,0.8%,0.8%,,,,9/30/26,9/30/26,9/30/26,,,,$,5.0,,,,,5.0,5.0,,,,,5.0,5.0,
American Vision Partners,American Vision Partners,American Vision Partners,,,,(i)(v),(i)(v),(i)(v),,,,Health Care Equipment & Services,Health Care Equipment & Services,Health Care Equipment & Services,,,,SF+600,SF+600,SF+600,,,,0.8%,0.8%,0.8%,,,,9/30/27,9/30/27,9/30/27,,,,90.5,90.5,,,,,90.2,90.2,,,,,89.9,89.9,
American Vision Partners,American Vision Partners,American Vision Partners,,,,(x),(x),(x),,,,Health Care Equipment & Services,Health Care Equipment & Services,Health Care Equipment & Services,,,,SF+600,SF+600,SF+600,,,,0.8%,0.8%,0.8%,,,,9/30/26,9/30/26,9/30/26,,,,2.8,2.8,,,,,2.8,2.8,,,,,2.8,2.8,
Amerivet Partners Management Inc,Amerivet Partners Management Inc,Amerivet Partners Management Inc,,,,(v),(v),(v),,,,Health Care Equipment & Services,Health Care Equipment & Services,Health Care Equipment & Services,,,,SF+525,SF+525,SF+525,,,,0.8%,0.8%,0.8%,,,,2/25/28,2/25/28,2/25/28,,,,67.6,67.6,,,,,67.4,67.4,,,,,67.6,67.6,
Amerivet Partners Management Inc,Amerivet Partners Management Inc,Amerivet Partners Management Inc,,,,(x),(x),(x),,,,Health Care Equipment & Services,Health Care Equipment & Services,Health Care Equipment & Services,,,,SF+525,SF+525,SF+525,,,,0.8%,0.8%,0.8%,,,,2/25/28,2/25/28,2/25/28,,,,8.4,8.4,,,,,8.4,8.4,,,,,8.4,8.4,
Apex Group Limited,Apex Group Limited,Apex Group Limited,,,,(aa)(m)(w),(aa)(m)(w),(aa)(m)(w),,,,Financial Services,Financial Services,Financial Services,,,,SF+375,SF+375,SF+375,,,,0.5%,0.5%,0.5%,,,,7/27/28,7/27/28,7/27/28,,,,2.4,2.4,,,,,2.4,2.4,,,,,2.5,2.5,
