bdc_name,bdc_cik,company_name,holder_count,is_shared,other_holders,industry_sector,business_description,position_count,investment_type,fair_value_millions,principal_millions,cost_millions,total_exposure_across_bdcs,fair_value,principal,cost,has_business_desc,industry_classified
Ares Capital Corporation,1287750,"ADG, LLC, GEDC Equity, LLC and RC IV GEDC Investor LLC (5)",1,False,,Healthcare Services,Dental services provider,4,"First lien senior secured loan, Second lien senior secured loan, Class A common units",118.8,58.9,176.6,118.8,118800000.0,58900000.0,176600000.0,True,True
Ares Capital Corporation,1287750,"AHR Funding Holdings, Inc. and AHR Parent Holdings, LP",1,False,,Healthcare Services,Provider of revenue cycle management solutions to hospitals,4,"Series A preferred shares, Preferred units, Class B common units",121.6,0.0,119.6,121.6,121600000.0,0.0,119600000.0,True,True
Ares Capital Corporation,1287750,"AI Fire Buyer, Inc. and AI Fire Parent LLC",1,False,,Other,Provider of fire safety and life safety services,4,"First lien senior secured revolving loan, First lien senior secured loan",11.3,11.3,11.3,11.3,11300000.0,11300000.0,11300000.0,True,False
Ares Capital Corporation,1287750,"AI Titan Parent, Inc.",1,False,,Software/Technology,Provider of plant maintenance / scheduling software,1,First lien senior secured loan,60.9,61.5,61.5,60.9,60900000.0,61500000.0,61500000.0,True,True
Ares Capital Corporation,1287750,"AMCP Clean Acquisition Company, LLC",1,False,,Other,Provider of commercial laundry services,3,First lien senior secured loan,21.2,10.7,21.0,21.2,21200000.0,10700000.0,21000000.0,True,False
Ares Capital Corporation,1287750,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",1,False,,Software/Technology,Aircraft performance software provider,3,"First lien senior secured loan, Class A membership units",37.4,13.1,45.8,37.4,37400000.0,13100000.0,45800000.0,True,True
Ares Capital Corporation,1287750,"AQ Sage Buyer, LLC",1,False,,Business Services,Provider of actuarial consulting and comprehensive wealth management services,7,"First lien senior secured revolving loan, First lien senior secured loan, Senior subordinated loan, Common units",33.0,10.2,33.0,33.0,33000000.0,10200000.0,33000000.0,True,True
Ares Capital Corporation,1287750,"ATI Restoration, LLC",1,False,,Other,Provider of disaster recovery services,5,"First lien senior secured revolving loan, First lien senior secured loan",194.6,99.3,198.6,194.6,194600000.0,99300000.0,198600000.0,True,False
Ares Capital Corporation,1287750,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)",1,False,,Healthcare Services,Dental services provider,3,"First lien senior secured revolving loan, First lien senior secured loan, Class A preferred units",67.3,55.8,72.0,67.3,67300000.0,55800000.0,72000000.0,True,True
Ares Capital Corporation,1287750,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC,1,False,,Transportation & Logistics,Provider of outsourced crew accommodations and logistics management solutions to the airline industry,1,Class A common units,44.3,0.0,4.3,44.3,44300000.0,0.0,4300000.0,True,True
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",1,False,,Software/Technology,"Provider of software services that support the management and security of computing devices, applications, data, and networks",4,"First lien senior secured loan, Limited partnership interest",125.4,49.4,119.2,125.4,125400000.0,49400000.0,119200000.0,True,True
Ares Capital Corporation,1287750,"Aduro Advisors, LLC",1,False,,Other,Provider of fund administration services,1,First lien senior secured loan,8.2,8.3,8.3,8.2,8199999.999999999,8300000.000000001,8300000.000000001,True,False
Ares Capital Corporation,1287750,"Advarra Holdings, Inc.",1,False,,Healthcare Services,Provider of central institutional review boards over clinical trials,1,First lien senior secured loan,4.0,4.0,4.0,4.0,4000000.0,4000000.0,4000000.0,True,True
Ares Capital Corporation,1287750,Aerin Medical Inc.,1,False,,Other,Developer and manufacturer of non-invasive nasal treatment solutions,3,"First lien senior secured loan, Series G preferred shares",27.8,13.1,27.6,27.8,27800000.0,13100000.0,27600000.0,True,False
Ares Capital Corporation,1287750,Aero Operating LLC,1,False,,Other,Provider of snow removal and melting service for airports and marine terminals,3,First lien senior secured loan,63.6,37.3,74.6,63.6,63600000.0,37300000.0,74600000.0,True,False
Ares Capital Corporation,1287750,Aldinger Company Inc,1,False,,Other,Provider of outsourced calibration and repair services,1,First lien senior secured loan,31.7,32.0,32.0,31.7,31700000.0,32000000.0,32000000.0,True,False
Ares Capital Corporation,1287750,"Amerivet Partners Management, Inc. and AVE Holdings LP",1,False,,Software/Technology,Veterinary practice management platform,4,"Subordinated loan, Class A units, Class C units",127.8,66.2,138.6,127.8,127800000.0,66200000.0,138600000.0,True,True
Ares Capital Corporation,1287750,"Anaplan, Inc.",1,False,,Software/Technology,Provider of cloud-based connected planning platforms for business analytics,3,First lien senior secured loan,11.8,5.9,11.8,11.8,11800000.0,5899999.999999999,11800000.0,True,True
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",1,False,,Software/Technology,Provider of intellectual property management lifecycle software,5,"First lien senior secured loan, Limited partnership units",59.0,16.6,43.0,59.0,59000000.0,16600000.0,43000000.0,True,True
Ares Capital Corporation,1287750,"Applied Technical Services, LLC",1,False,,Industrial/Manufacturing,"Provider engineering, testing, and inspection services to various industrial, commercial and consumer customers",5,"First lien senior secured revolving loan, First lien senior secured loan",25.4,13.0,25.4,25.4,25400000.0,13000000.0,25400000.0,True,True
Ares Capital Corporation,1287750,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.",1,False,,Software/Technology,"Software platform for identification, prevention and management of substance use disorder",3,"First lien senior secured loan, Series A preferred shares",107.4,5.5,107.4,107.4,107400000.0,5500000.0,107400000.0,True,True
Ares Capital Corporation,1287750,"Aptean, Inc. and Aptean Acquiror Inc.",1,False,,Software/Technology,"Provider of CRM, ERP and supply chain software applications",1,First lien senior secured loan,18.4,18.4,18.2,18.4,18400000.0,18400000.0,18200000.0,True,True
Ares Capital Corporation,1287750,"Argenbright Holdings V, LLC, Amberstone Security Group Limited, Unifi Aviation North America LLC and Unifi Aviation Canada, Inc.",1,False,,Transportation & Logistics,"Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",5,"First lien senior secured loan, Senior subordinated loan",124.2,62.1,124.0,124.2,124200000.0,62100000.0,124000000.0,True,True
Ares Capital Corporation,1287750,"Artifact Bidco, Inc.",1,False,,Software/Technology,Supply chain risk management SaaS platform for global enterprise clients,1,First lien senior secured loan,18.9,18.9,18.9,18.9,18900000.0,18900000.0,18900000.0,True,True
