bdc_name,industry_sector,company_count,pct_companies,fair_value_millions,pct_fair_value,principal_millions,cost_millions,fair_value,principal,cost,total_companies,total_fair_value
Ares Capital Corporation,Software/Technology,122,48.22,12019.3,36.23,5446.9,12230.1,12019300000.0,5446900000.0,12230100000.0,253,33172200000.0
Ares Capital Corporation,Healthcare Services,26,10.28,9926.1,29.92,1345.1,9968.1,9926100000.0,1345100000.0,9968100000.0,253,33172200000.0
Ares Capital Corporation,Financial Services,24,9.49,5517.1,16.63,487.6,5041.1,5517100000.0,487600000.0,5041100000.0,253,33172200000.0
Ares Capital Corporation,Other,45,17.79,2655.0,8.0,1442.9,2670.6,2655000000.0,1442900000.0,2670600000.0,253,33172200000.0
Ares Capital Corporation,Business Services,12,4.74,1622.6,4.89,819.6,1660.4,1622600000.0,819600000.0,1660400000.0,253,33172200000.0
Ares Capital Corporation,Industrial/Manufacturing,9,3.56,383.5,1.16,136.9,385.7,383500000.0,136900000.0,385700000.0,253,33172200000.0
Ares Capital Corporation,Transportation & Logistics,4,1.58,306.8,0.92,207.6,273.8,306800000.0,207600000.0,273800000.0,253,33172200000.0
Ares Capital Corporation,Real Estate,2,0.79,285.8,0.86,134.9,301.6,285800000.0,134900000.0,301600000.0,253,33172200000.0
Ares Capital Corporation,Media & Entertainment,1,0.4,156.8,0.47,147.2,150.0,156800000.0,147200000.0,150000000.0,253,33172200000.0
Ares Capital Corporation,Retail,1,0.4,110.1,0.33,94.1,101.4,110100000.0,94100000.0,101400000.0,253,33172200000.0
Ares Capital Corporation,Energy & Utilities,2,0.79,73.3,0.22,64.6,73.1,73300000.0,64600000.0,73100000.0,253,33172200000.0
Ares Capital Corporation,Food & Beverage,3,1.19,60.1,0.18,48.4,100.6,60100000.0,48400000.0,100600000.0,253,33172200000.0
Ares Capital Corporation,Hospitality,1,0.4,42.3,0.13,42.8,45.3,42300000.0,42800000.0,45300000.0,253,33172200000.0
Ares Capital Corporation,Telecommunications,1,0.4,13.4,0.04,13.6,13.6,13400000.0,13600000.0,13600000.0,253,33172200000.0
FS KKR Capital Corp,Unknown,279,100.0,56340.3,100.0,2118247180.6,55110.0,56340300000.0,2118247180600000.0,55110000000.0,279,56340300000.0
Main Street Capital Corporation,Other,44,31.43,3039.75,32.44,1004.86,2383.19,3039748000.0,1004861000.0,2383190000.0,140,9371114000.0
Main Street Capital Corporation,Industrial/Manufacturing,27,19.29,1764.77,18.83,654.43,1548.24,1764772000.0,654432000.0,1548241000.0,140,9371114000.0
Main Street Capital Corporation,Software/Technology,18,12.86,1006.58,10.74,370.79,928.18,1006581000.0,370790000.0,928177000.0,140,9371114000.0
Main Street Capital Corporation,Healthcare Services,6,4.29,654.81,6.99,279.12,583.08,654806000.0,279117000.0,583082000.0,140,9371114000.0
Main Street Capital Corporation,Business Services,5,3.57,553.29,5.9,200.59,450.65,553287000.0,200590000.0,450646000.0,140,9371114000.0
Main Street Capital Corporation,Financial Services,7,5.0,510.04,5.44,13.17,146.74,510035000.0,13172000.0,146739000.0,140,9371114000.0
Main Street Capital Corporation,Retail,8,5.71,491.39,5.24,185.56,468.42,491391000.0,185558000.0,468419000.0,140,9371114000.0
Main Street Capital Corporation,Consumer Products,2,1.43,399.27,4.26,232.28,431.11,399269000.0,232279000.0,431111000.0,140,9371114000.0
Main Street Capital Corporation,Food & Beverage,8,5.71,259.82,2.77,125.44,285.52,259822000.0,125438000.0,285519000.0,140,9371114000.0
Main Street Capital Corporation,Real Estate,1,0.71,214.07,2.28,39.23,95.02,214074000.0,39227000.0,95024000.0,140,9371114000.0
Main Street Capital Corporation,Energy & Utilities,3,2.14,182.89,1.95,61.77,180.32,182891000.0,61769000.0,180317000.0,140,9371114000.0
Main Street Capital Corporation,Education,4,2.86,168.45,1.8,35.3,86.96,168450000.0,35298000.0,86956000.0,140,9371114000.0
Main Street Capital Corporation,Telecommunications,3,2.14,97.33,1.04,41.65,92.94,97330000.0,41648000.0,92944000.0,140,9371114000.0
Main Street Capital Corporation,Media & Entertainment,1,0.71,22.22,0.24,2.4,30.55,22218000.0,2400000.0,30548000.0,140,9371114000.0
Main Street Capital Corporation,Transportation & Logistics,1,0.71,5.52,0.06,0.0,0.0,5520000.0,0.0,0.0,140,9371114000.0
Main Street Capital Corporation,Hospitality,2,1.43,0.92,0.01,0.0,17.59,920000.0,0.0,17592000.0,140,9371114000.0
New Mountain Finance Corporation,Unknown,26,100.0,6532.2,100.0,151848.04,5937.05,6532203000.0,151848043000.0,5937053000.0,26,6532203000.0
Oaktree Specialty Lending Corporation,Unknown,10,100.0,622.6,100.0,474.78,0.0,622605000.0,474781000.0,0.0,10,622605000.0
Prospect Capital Corporation,Unknown,124,100.0,30504.57,100.0,13047.65,27270.31,30504566000.0,13047647000.0,27270308000.0,124,30504566000.0
