bdc_name,bdc_cik,company_name,holder_count,is_shared,other_holders,investment_type,industry_sector,business_description,fair_value_millions,principal_millions,cost_millions,fair_value,principal,cost,has_business_desc,industry_classified
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",1,False,,First lien senior secured loan,Software/Technology,"Provider of software services that support the management and security of computing devices, applications, data, and networks",42.5,42.5,42.5,42500000.0,42500000.0,42500000.0,True,True
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",1,False,,First lien senior secured loan,Software/Technology,"Provider of software services that support the management and security of computing devices, applications, data, and networks",6.9,6.9,6.9,6900000.0,6900000.0,6900000.0,True,True
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",1,False,,Limited partnership interest,Software/Technology,"Provider of software services that support the management and security of computing devices, applications, data, and networks",13.3,,10.2,13300000.0,,10200000.0,True,True
Ares Capital Corporation,1287750,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP",1,False,,,Software/Technology,"Provider of software services that support the management and security of computing devices, applications, data, and networks",62.7,,59.6,62700000.0,,59600000.0,True,True
Ares Capital Corporation,1287750,"AI Titan Parent, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of plant maintenance / scheduling software,60.9,61.5,61.5,60900000.0,61500000.0,61500000.0,True,True
Ares Capital Corporation,1287750,"Anaplan, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of cloud-based connected planning platforms for business analytics,1.8,1.8,1.8,1800000.0,1800000.0,1800000.0,True,True
Ares Capital Corporation,1287750,"Anaplan, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of cloud-based connected planning platforms for business analytics,4.1,4.1,4.1,4099999.999999999,4099999.999999999,4099999.999999999,True,True
Ares Capital Corporation,1287750,"Anaplan, Inc.",1,False,,,Software/Technology,Provider of cloud-based connected planning platforms for business analytics,5.9,,5.9,5900000.0,,5900000.0,True,True
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",1,False,,First lien senior secured loan,Software/Technology,Provider of intellectual property management lifecycle software,7.5,7.5,8.2,7500000.0,7500000.0,8199999.999999999,True,True
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",1,False,,First lien senior secured loan,Software/Technology,Provider of intellectual property management lifecycle software,3.7,3.7,3.7,3700000.0,3700000.0,3700000.0,True,True
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",1,False,,First lien senior secured loan,Software/Technology,Provider of intellectual property management lifecycle software,5.4,5.4,5.4,5400000.0,5400000.0,5400000.0,True,True
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",1,False,,Limited partnership units,Software/Technology,Provider of intellectual property management lifecycle software,12.9,,4.2,12900000.0,,4200000.0,True,True
Ares Capital Corporation,1287750,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua",1,False,,,Software/Technology,Provider of intellectual property management lifecycle software,29.5,,21.5,29500000.0,,21500000.0,True,True
Ares Capital Corporation,1287750,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",1,False,,First lien senior secured loan,Software/Technology,Aircraft performance software provider,13.1,13.1,13.1,13100000.0,13100000.0,13100000.0,True,True
Ares Capital Corporation,1287750,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",1,False,,Class A membership units,Software/Technology,Aircraft performance software provider,5.6,,9.8,5600000.0,,9800000.0,True,True
Ares Capital Corporation,1287750,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)",1,False,,,Software/Technology,Aircraft performance software provider,18.7,,22.9,18700000.0,,22900000.0,True,True
Ares Capital Corporation,1287750,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.",1,False,,First lien senior secured loan,Software/Technology,"Software platform for identification, prevention and management of substance use disorder",5.5,5.5,5.5,5500000.0,5500000.0,5500000.0,True,True
Ares Capital Corporation,1287750,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.",1,False,,Series A preferred shares,Software/Technology,"Software platform for identification, prevention and management of substance use disorder",48.2,,48.2,48200000.0,,48200000.0,True,True
Ares Capital Corporation,1287750,"Appriss Health, LLC and Appriss Health Intermediate Holdings, Inc.",1,False,,,Software/Technology,"Software platform for identification, prevention and management of substance use disorder",53.7,,53.7,53700000.0,,53700000.0,True,True
Ares Capital Corporation,1287750,"Aptean, Inc. and Aptean Acquiror Inc.",1,False,,First lien senior secured loan,Software/Technology,"Provider of CRM, ERP and supply chain software applications",18.4,18.4,18.2,18400000.0,18400000.0,18200000.0,True,True
Ares Capital Corporation,1287750,"Artifact Bidco, Inc.",1,False,,First lien senior secured loan,Software/Technology,Supply chain risk management SaaS platform for global enterprise clients,18.9,18.9,18.9,18900000.0,18900000.0,18900000.0,True,True
Ares Capital Corporation,1287750,"Auctane, Inc.",1,False,,First lien senior secured loan,Transportation & Logistics,Provider of mailing and shipping solutions,136.6,143.8,143.8,136600000.0,143800000.0,143800000.0,True,True
Ares Capital Corporation,1287750,"Avalara, Inc.",1,False,,First lien senior secured loan,Software/Technology,Provider of cloud-based solutions for transaction tax compliance worldwide,72.2,72.2,72.2,72200000.0,72200000.0,72200000.0,True,True
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,First lien senior secured revolving loan,Software/Technology,Vertical software businesses holding company,1.0,1.0,1.0,1000000.0,1000000.0,1000000.0,True,True
Ares Capital Corporation,1287750,"Banyan Software Holdings, LLC and Banyan Software, LP",1,False,,First lien senior secured loan,Software/Technology,Vertical software businesses holding company,1.0,1.0,1.0,1000000.0,1000000.0,1000000.0,True,True
