company_name,holder_count,is_shared,held_by_bdcs,industry_sector,business_description,total_positions,fair_value_millions,principal_millions,cost_millions,total_fair_value,total_principal,total_cost,has_business_desc,industry_classified
Zendesk Inc,1,False,FS KKR Capital Corp,Unknown,,4,9416.2,80.1,9776.7,9416200000.0,80100000.0,9776700000.0,False,False
Net Senior Secured Loans—First Lien,1,False,FS KKR Capital Corp,Unknown,,1,8529.1,0.0,8890.1,8529100000.0,0.0,8890100000.0,False,False
National Property REIT Corp.,1,False,Prospect Capital Corporation,Unknown,,14,7011.04,1347.1,3672.06,7011043000.0,1347097000.0,3672063000.0,False,False
"ZocDoc, Inc.",1,False,Ares Capital Corporation,Healthcare Services,Healthcare marketplace connecting patients and providers,2,6618.7,74.1,6633.7,6618700000.0,74100000.0,6633700000.0,True,True
"Weber-Stephen Products LLC, Revolver",1,False,FS KKR Capital Corp,Unknown,,6,4771.2,0.0,5060.6,4771200000.0,0.0,5060600000.0,False,False
Net Asset Based Finance,1,False,FS KKR Capital Corp,Unknown,,2,4179.0,0.0,4469.0,4179000000.0,0.0,4469000000.0,False,False
"Credit Opportunities Partners JV, LLC",1,False,FS KKR Capital Corp,Unknown,,3,4123.5,0.0,3143.4,4123500000.0,0.0,3143400000.0,False,False
First Tower Finance Company LLC,1,False,Prospect Capital Corporation,Unknown,,7,3331.27,877.16,1908.3,3331274000.0,877164000.0,1908297000.0,False,False
Wellington-Altus Financial Inc. (15),1,False,Ares Capital Corporation,Financial Services,Wealth management and advisory firm,4,2649.6,0.8,2405.0,2649600000.0,800000.0,2405000000.0,True,True
Software,1,False,New Mountain Finance Corporation,Unknown,,191,2107.89,6788.89,2098.47,2107892000.0,6788890000.0,2098466000.0,False,False
"InterDent, Inc.",1,False,Prospect Capital Corporation,Unknown,,12,2063.3,665.34,1534.39,2063295000.0,665335000.0,1534391000.0,False,False
"Ivy Hill Asset Management, L.P.",1,False,Ares Capital Corporation,Financial Services,Asset management services,1,1915.3,0.0,1700.5,1915300000.0,0.0,1700500000.0,True,True
Wittur Holding GmbH,1,False,FS KKR Capital Corp,Unknown,,5,1201.0,134.1,1364.4,1201000000.0,134100000.0,1364400000.0,False,False
Production Resource Group LLC,1,False,FS KKR Capital Corp,Unknown,,15,1194.7,659.2,655.3,1194700000.0,659200000.0,655300000.0,False,False
Business Services,1,False,New Mountain Finance Corporation,Unknown,,123,1112.56,101540.79,1241.55,1112562000.0,101540789000.0,1241548000.0,False,False
Net Senior Secured Loans—Second Lien,1,False,FS KKR Capital Corp,Unknown,,1,1089.8,0.0,1158.1,1089800000.0,0.0,1158100000.0,False,False
Healthcare,1,False,New Mountain Finance Corporation,Unknown,,87,1043.13,9956.02,984.38,1043132000.0,9956015000.0,984375000.0,False,False
"Town & Country Holdings, Inc.",1,False,Prospect Capital Corporation,Unknown,,10,910.52,460.55,984.87,910524000.0,460554000.0,984872000.0,False,False
Neptune Bidco US Inc. and Elliott Metron Co-Investor Aggregator L.P.,1,False,Ares Capital Corporation,Business Services,"Provider of audience insights, data and analytics to entertainment industry",6,862.0,458.8,902.6,862000000.0,458800000.0,902600000.0,True,True
"Valley Electric Company, Inc.",1,False,Prospect Capital Corporation,Unknown,,7,798.62,83.86,196.58,798622000.0,83858000.0,196585000.0,False,False
DRI Holding Inc.,1,False,Prospect Capital Corporation,Unknown,,5,680.31,323.56,677.8,680314000.0,323561000.0,677799000.0,False,False
"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,SaaS based healthcare compliance platform provider,9,678.0,178.9,757.4,678000000.0,178900000.0,757400000.0,True,True
"Gamber-Johnson Holdings, LLC",1,False,Main Street Capital Corporation,Other,Manufacturer of Ruggedized Computer Mounting Systems,6,677.33,127.2,324.37,677328000.0,127204000.0,324366000.0,True,False
Kellermeyer Bergensons Services LLC,1,False,FS KKR Capital Corp,Unknown,,5,595.8,663.0,649.4,595800000.0,663000000.0,649400000.0,False,False
"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",1,False,Ares Capital Corporation,Healthcare Services,On-demand supply chain automation solutions provider to the healthcare industry,3,568.8,243.5,512.8,568800000.0,243500000.0,512800000.0,True,True
"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP (15)",1,False,Ares Capital Corporation,Healthcare Services,Revenue cycle management provider to the physician practices and acute care hospitals,4,566.8,0.1,562.2,566800000.0,100000.0,562200000.0,True,True
"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Provider of a cloud-based, SaaS platform for talent management",6,559.0,148.6,647.8,559000000.0,148600000.0,647800000.0,True,True
NMN Holdings III Corp. and NMN Holdings LP,1,False,Ares Capital Corporation,Software/Technology,Provider of complex rehabilitation technology solutions for patients with mobility loss,4,513.8,250.6,507.2,513800000.0,250600000.0,507200000.0,True,True
"Imperative Worldwide, LLC (f/k/a MAGNATE WORLDWIDE, LLC)",1,False,Prospect Capital Corporation,Unknown,,6,507.0,258.74,517.22,507002000.0,258743000.0,517220000.0,False,False
"R-V Industries, Inc.",1,False,Prospect Capital Corporation,Unknown,,8,497.47,84.64,200.45,497466000.0,84644000.0,200452000.0,False,False
"Cloud Software Group, Inc., Picard Parent, Inc., Cloud Software Group Holdings, Inc., Picard HoldCo, LLC and Elliott Alto Co-Investor Aggregator L.P.",1,False,Ares Capital Corporation,Software/Technology,"Provider of server, application and desktop virtualization, networking, software as a service, and cloud computing technologies",5,493.0,211.0,428.2,493000000.0,211000000.0,428200000.0,True,True
Pacific World Corporation,1,False,Prospect Capital Corporation,Unknown,,8,491.01,212.92,1354.54,491012000.0,212919000.0,1354539000.0,False,False
"athenahealth Inc, Preferred Stock",1,False,FS KKR Capital Corp,Unknown,,2,483.8,0.0,0.0,483800000.0,0.0,0.0,False,False
"Roemanu LLC (FKA Toorak Capital Partners LLC), ABF Equity",1,False,FS KKR Capital Corp,Unknown,,2,479.9,220778388.0,236.5,479900000.0,220778388000000.0,236500000.0,False,False
"Centralsquare Technologies, LLC and Supermoose Newco, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of mission-critical software solutions for the public sector,3,469.0,141.9,469.0,469000000.0,141900000.0,469000000.0,True,True
Kaseya Inc. and Knockout Intermediate Holdings I Inc.,1,False,Ares Capital Corporation,Software/Technology,Provider of cloud-based software and technology solutions for small and medium sized businesses,4,463.2,177.7,462.8,463200000.0,177700000.0,462800000.0,True,True
Clarience Technologies LLC,1,False,FS KKR Capital Corp,Unknown,,5,455.0,68.8,447.4,455000000.0,68800000.0,447400000.0,False,False
Medallia Inc,1,False,FS KKR Capital Corp,Unknown,,2,437.0,443.0,439.7,437000000.0,443000000.0,439700000.0,False,False
"Global Jet Capital LLC, Preferred Stock",1,False,FS KKR Capital Corp,Unknown,,3,431.6,575051908.0,621.7,431600000.0,575051908000000.0,621700000.0,False,False
"MITY, Inc.",1,False,Prospect Capital Corporation,Unknown,,11,428.18,126.06,373.87,428180000.0,126058000.0,373868000.0,False,False
"NMMB, Inc.",1,False,Prospect Capital Corporation,Unknown,,7,427.12,59.45,118.89,427124000.0,59446000.0,118892000.0,False,False
"MSC Adviser I, LLC",1,False,Main Street Capital Corporation,Financial Services,Third Party Investment Advisory Services,2,420.06,0.0,59.0,420063000.0,0.0,59000000.0,True,True
CP Energy Services Inc.,1,False,Prospect Capital Corporation,Unknown,,18,413.65,212.55,1187.03,413651000.0,212549000.0,1187033000.0,False,False
MB2 Dental Solutions LLC,1,False,FS KKR Capital Corp,Unknown,,4,410.6,409.0,402.6,410600000.0,409000000.0,402600000.0,False,False
RSC Insurance Brokerage Inc,1,False,FS KKR Capital Corp,Unknown,,5,408.4,407.4,399.6,408400000.0,407400000.0,399600000.0,False,False
"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc.",1,False,Ares Capital Corporation,Financial Services,Payment processing solution provider,4,402.8,196.1,407.0,402800000.0,196100000.0,407000000.0,True,True
"GraphPAD Software, LLC, Insightful Science Intermediate I, LLC and Insightful Science Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",4,397.6,125.1,399.8,397600000.0,125100000.0,399800000.0,True,True
"Mimecast Borrowerco, Inc. and Magnesium Co- Invest SCSp",1,False,Ares Capital Corporation,Software/Technology,Cybersecurity solutions provider,8,395.0,148.0,394.0,395000000.0,148000000.0,394000000.0,True,True
"PeopleConnect Holdings, Inc",1,False,Prospect Capital Corporation,Unknown,,4,391.34,195.67,391.34,391340000.0,195670000.0,391340000.0,False,False
"BCPE North Star US Holdco 2, Inc.",1,False,Prospect Capital Corporation,Unknown,,5,389.88,200.0,398.06,389884000.0,200000000.0,398060000.0,False,False
"Credit Central Loan Company, LLC",1,False,Prospect Capital Corporation,Unknown,,9,389.57,173.21,475.8,389574000.0,173207000.0,475805000.0,False,False
"Universal Turbine Parts, LLC",1,False,Prospect Capital Corporation,Unknown,,11,386.66,90.16,312.83,386655000.0,90163000.0,312826000.0,False,False
CSafe Global,1,False,FS KKR Capital Corp,Unknown,,9,384.3,322.7,381.6,384300000.0,322700000.0,381600000.0,False,False
"Enverus Holdings, Inc. and Titan DI Preferred Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,SaaS based business analytics company focused on oil and gas industry,5,381.4,134.2,379.6,381400000.0,134200000.0,379600000.0,True,True
Consumer Services,1,False,New Mountain Finance Corporation,Unknown,,34,381.25,266.28,380.85,381249000.0,266282000.0,380853000.0,False,False
"Global Medical Response, Inc. and GMR Buyer Corp.",1,False,Ares Capital Corporation,Healthcare Services,Emergency air medical services provider,6,381.0,41.3,357.8,381000000.0,41300000.0,357800000.0,True,True
"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP",1,False,Ares Capital Corporation,Software/Technology,"Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",3,381.0,155.7,430.8,381000000.0,155700000.0,430800000.0,True,True
"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC",1,False,Ares Capital Corporation,Healthcare Services,Veterinary hospital operator,4,365.8,159.2,352.8,365800000.0,159200000.0,352800000.0,True,True
"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP",1,False,Ares Capital Corporation,Software/Technology,Insurance software provider,5,362.8,189.0,395.6,362800000.0,189000000.0,395600000.0,True,True
"Bolder Panther Group, LLC",1,False,Main Street Capital Corporation,Consumer Products,Consumer Goods and Fuel Retailer,4,356.8,198.2,321.42,356795000.0,198199000.0,321419000.0,True,True
Financial Services,1,False,New Mountain Finance Corporation,Unknown,,25,353.34,199.49,347.16,353336000.0,199487000.0,347164000.0,False,False
"Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",1,False,Ares Capital Corporation,Software/Technology,Provider of internet security tools and solutions,4,348.4,11.0,423.0,348400000.0,11000000.0,423000000.0,True,True
PSKW LLC (dba ConnectiveRx),1,False,FS KKR Capital Corp,Unknown,,2,345.1,345.1,340.2,345100000.0,345100000.0,340200000.0,False,False
Solera LLC,1,False,FS KKR Capital Corp,Unknown,,1,335.9,335.9,322.1,335900000.0,335900000.0,322100000.0,False,False
ATX Networks Corp,1,False,FS KKR Capital Corp,Unknown,,9,331.8,254.0,255.3,331800000.0,254000000.0,255300000.0,False,False
"Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",1,False,Ares Capital Corporation,Other,Keg management solutions provider,6,330.8,136.2,316.8,330800000.0,136200000.0,316800000.0,True,False
Insight Global LLC,1,False,FS KKR Capital Corp,Unknown,,6,323.4,84.0,321.7,323400000.0,84000000.0,321700000.0,False,False
"Datix Bidco Limited and RL Datix Holdings (USA), Inc.",1,False,Ares Capital Corporation,Software/Technology,Global healthcare software company that provides software solutions for patient safety and risk management,5,320.0,160.1,320.2,320000000.0,160100000.0,320200000.0,True,True
"USG Intermediate, LLC",1,False,Prospect Capital Corporation,Unknown,,8,317.91,158.95,317.91,317906000.0,158953000.0,317910000.0,False,False
"SI East, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Rigid Industrial Packaging Manufacturing,8,316.8,125.57,256.6,316804000.0,125572000.0,256600000.0,True,True
"U.S. Anesthesia Partners, Inc. & U.S. Anesthesia Partners Holdings, Inc.",1,False,Ares Capital Corporation,Other,Anesthesiology service provider,3,313.4,147.8,321.4,313400000.0,147800000.0,321400000.0,True,False
Tangoe LLC,1,False,FS KKR Capital Corp,Unknown,,4,311.0,374.8,349.8,311000000.0,374800000.0,349800000.0,False,False
Precisely Software Incorporated,1,False,Prospect Capital Corporation,Unknown,,4,310.4,160.0,318.02,310398000.0,160000000.0,318018000.0,False,False
"IRI Group Holdings, Inc., Circana, LLC and IRI-NPD Co-Invest Aggregator, L.P.",1,False,Ares Capital Corporation,Business Services,Market research company focused on the consumer packaged goods industry,3,307.2,153.6,307.2,307200000.0,153600000.0,307200000.0,True,True
"Broder Bros., Co.",1,False,Prospect Capital Corporation,Unknown,,2,307.03,153.51,307.03,307028000.0,153514000.0,307028000.0,False,False
Peraton Corp,1,False,FS KKR Capital Corp,Unknown,,2,304.5,304.8,291.9,304500000.0,304800000.0,291900000.0,False,False
"Nebraska Vet AcquireCo, LLC",1,False,Main Street Capital Corporation,Healthcare Services,Mixed-Animal Veterinary and Animal Health Product Provider,9,300.41,103.14,233.32,300408000.0,103144000.0,233320000.0,True,True
"Aventiv Technologies, LLC",1,False,Prospect Capital Corporation,Unknown,,10,285.77,335.07,424.02,285772000.0,335069000.0,424016000.0,False,False
Woolpert Inc,1,False,FS KKR Capital Corp,Unknown,,6,285.2,125.4,278.8,285200000.0,125400000.0,278800000.0,False,False
Lexitas Inc,1,False,FS KKR Capital Corp,Unknown,,7,282.6,279.4,274.6,282600000.0,279400000.0,274600000.0,False,False
"BCPE Osprey Buyer, Inc.",1,False,Prospect Capital Corporation,Unknown,,8,279.54,139.77,279.38,279540000.0,139770000.0,279382000.0,False,False
"Senior Loan Fund JV I, LLC",1,False,Oaktree Specialty Lending Corporation,Unknown,,4,276.73,225.31,0.0,276731000.0,225312000.0,0.0,False,False
J S Held LLC,1,False,FS KKR Capital Corp,Unknown,,8,275.6,276.3,275.0,275600000.0,276300000.0,275000000.0,False,False
"Interventional Management Services, LLC",1,False,Prospect Capital Corporation,Unknown,,6,275.06,139.72,279.44,275062000.0,139720000.0,279440000.0,False,False
